#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1548685905109173323,-0.0775076752,0.0606919701,0.0565826220,9.6298967714,0.3181909973,1.3153547052
1548685905114151323,-0.0806680891,0.0595353917,0.0547319593,9.6334847435,0.3458342841,1.3575015302
1548685905119131323,-0.0838192064,0.0589452053,0.0547601045,9.6322887528,0.3314125296,1.3868290413
1548685905124110323,-0.0877040780,0.0577825758,0.0534527634,9.6466406413,0.2857659087,1.3983681067
1548685905129089323,-0.0918485277,0.0554846597,0.0486584019,9.6837163535,0.2930215676,1.3896547490
1548685905134068323,-0.0928210192,0.0503043014,0.0462547302,9.6765404092,0.3146431875,1.3686456177
1548685905139047323,-0.0950071680,0.0456952993,0.0438612707,9.6418566785,0.3146006082,1.3796691220
1548685905144026323,-0.0979187574,0.0436705177,0.0428145340,9.6873043256,0.3134547113,1.4200804166
1548685905149005323,-0.0996148142,0.0387709452,0.0412224269,9.7124201306,0.3194939972,1.4044965982
1548685905153984323,-0.1032480485,0.0332849606,0.0399162745,9.6932842792,0.3206721957,1.3414529184
1548685905158963323,-0.1068764030,0.0254926287,0.0386118926,9.7040481956,0.3050634331,1.3753069051
1548685905163942323,-0.1073518555,0.0188641572,0.0378158516,9.7303599913,0.3087008062,1.3679135026
1548685905168921323,-0.1092657973,0.0150904971,0.0410573485,9.7112241399,0.3002654805,1.3318351978
1548685905173900323,-0.1145865376,0.0098752883,0.0416451419,9.6729524370,0.3002184965,1.3440799129
1548685905178879323,-0.1199148349,0.0061059157,0.0414264358,9.6179368642,0.2881340517,1.3506944530
1548685905183858323,-0.1228013022,0.0077969076,0.0462830378,9.6239168178,0.3061667508,1.2919932919
1548685905188837323,-0.1274037750,0.0083477926,0.0473969409,9.5844491243,0.3385639426,1.2538370746
1548685905193815323,-0.1315302417,0.0074709540,0.0463599738,9.6059769571,0.3590191101,1.2746397866
1548685905198795323,-0.1363779243,0.0085988361,0.0472071009,9.5904290778,0.3938490480,1.2654643971
1548685905203774323,-0.1419281393,0.0099871144,0.0526242934,9.5736852078,0.3553743957,1.2785978048
1548685905208753323,-0.1445989695,0.0151576066,0.0539860722,9.5569413379,0.3193031245,1.3046259021
1548685905213732323,-0.1501983783,0.0234984241,0.0532232734,9.5102977000,0.3396746016,1.2665705849
1548685905218711323,-0.1535912715,0.0289482457,0.0556650811,9.5318255329,0.3324908869,1.2721404731
1548685905223691323,-0.1581921404,0.0358270218,0.0594587589,9.5043177465,0.3240452835,1.3123758247
1548685905228669323,-0.1649804232,0.0401119369,0.0613943566,9.5126896815,0.2964166792,1.3075795813
1548685905233648323,-0.1708134521,0.0435521766,0.0603689867,9.5605293100,0.3048872429,1.2963745836
1548685905238628323,-0.1763868576,0.0466891487,0.0622948148,9.5964090314,0.2977211473,1.3134718355
1548685905243607323,-0.1826799314,0.0503908308,0.0658373794,9.6119569107,0.3133622114,1.2968436806
1548685905248585323,-0.1899470442,0.0503521653,0.0672436301,9.6334847435,0.2857497579,1.3164864098
1548685905253564323,-0.1940597073,0.0500373495,0.0688908638,9.7052441863,0.3086699730,1.2709549336
1548685905258543323,-0.1998790341,0.0477102645,0.0681383844,9.7626517405,0.3255641164,1.2701680573
1548685905263523323,-0.2057169088,0.0428118413,0.0630924671,9.8487630719,0.3328799736,1.2760261649
1548685905268502323,-0.2118037547,0.0338908282,0.0553671357,9.8511550533,0.3845556027,1.2501897057
1548685905273481323,-0.2159491984,0.0249767276,0.0478932209,9.8212552855,0.3929307301,1.2177707222
1548685905278459323,-0.2188978381,0.0163707150,0.0377237865,9.7805916012,0.4024943337,1.2464577876
1548685905283439323,-0.2196520265,0.0063239120,0.0291470660,9.7267720191,0.4084367150,1.2507068042
1548685905288418323,-0.2184506251,0.0037505222,0.0261852952,9.7315559820,0.4324763985,1.2189833182
1548685905293397323,-0.2187025559,-0.0017077091,0.0224331301,9.7148121120,0.4360609146,1.1852139281
1548685905298376323,-0.2162882991,-0.0080164007,0.0181212597,9.6920882884,0.4696803525,1.1878596722
1548685905303355323,-0.2150608945,-0.0157936358,0.0178481159,9.6717564463,0.5369500616,1.1506059701
1548685905308334323,-0.2111821338,-0.0209545282,0.0156702893,9.6287007806,0.5537208718,1.1476716813
1548685905313313323,-0.2053464731,-0.0220957026,0.0180362105,9.5964090314,0.5717065869,1.1211443436
1548685905318292323,-0.1960962198,-0.0212274799,0.0246661787,9.5952130407,0.6293862638,1.0836322500
1548685905323271323,-0.1863561116,-0.0226635123,0.0312936554,9.6083689385,0.6402176293,1.0482811258
1548685905328250323,-0.1763793334,-0.0206404340,0.0381848098,9.6071729478,0.6378127800,1.0260243357
1548685905333229323,-0.1683363101,-0.0229472130,0.0445594029,9.5724892171,0.6257532955,1.0265002149
1548685905338208323,-0.1608075972,-0.0191859022,0.0479805026,9.5533533657,0.5908807782,1.0408376061
1548685905343187323,-0.1528021216,-0.0122498152,0.0511264415,9.5413934586,0.5716390473,1.0140426561
1548685905348166323,-0.1467295084,-0.0093567486,0.0540240622,9.5581373286,0.5464241018,0.9880302638
1548685905353144323,-0.1418975949,-0.0058661105,0.0520995368,9.5413934586,0.4923274727,0.9777216648
1548685905358124323,-0.1389991428,0.0030762567,0.0534094264,9.5425894493,0.4262359621,0.9941345050
1548685905363104323,-0.1392609237,0.0051078285,0.0507253647,9.5653132728,0.4094401916,0.9645215384
1548685905368082323,-0.1409872084,0.0059916011,0.0459072592,9.5952130407,0.3602075863,0.8820655431
1548685905373061323,-0.1470811369,0.0025437936,0.0389831159,9.6035849757,0.3710330788,0.9499420764
1548685905378040323,-0.1534172706,-0.0003299296,0.0323291253,9.5665092636,0.3012895126,0.9692221515
1548685905383019323,-0.1594968759,-0.0006268991,0.0291610486,9.4911618486,0.2927851791,1.0007312368
1548685905387997323,-0.1670164279,0.0004938449,0.0292262232,9.4421262294,0.3203638628,1.0037371962
1548685905392977323,-0.1767214735,-0.0047212608,0.0263623374,9.5186696350,0.2952223299,0.9757373313
1548685905397956323,-0.1854700903,-0.0099190745,0.0210737487,9.5581373286,0.3181029022,0.9494028560
1548685905402935323,-0.1930019999,-0.0171297114,0.0157760543,9.5007297743,0.3805203334,0.9536863097
1548685905407914323,-0.1971294153,-0.0260612888,0.0115237117,9.4971418022,0.4093565012,0.9631062335
1548685905412893323,-0.2017146729,-0.0378982822,0.0110363450,9.4373422665,0.4044763265,0.9815071447
1548685905417873323,-0.2065267734,-0.0408327230,0.0167189287,9.3380750373,0.3695054364,1.0367950834
1548685905422852323,-0.2091847488,-0.0431549468,0.0175495328,9.2962153624,0.3886810960,1.0385330772
1548685905427830323,-0.2142527112,-0.0411865330,0.0226935565,9.2974113531,0.3742622780,0.9974899517
1548685905432810323,-0.2173952776,-0.0366063711,0.0262077546,9.3009993252,0.3874852785,0.9962653535
1548685905437789323,-0.2207751241,-0.0351970265,0.0294580537,9.2950193717,0.3994948425,1.0174452003
1548685905442767323,-0.2243810226,-0.0309276398,0.0367352360,9.2926273902,0.3886766912,0.9905176672
1548685905447747323,-0.2241288094,-0.0248942780,0.0407554227,9.2734915388,0.3501991024,0.9849268738
1548685905452726323,-0.2231674444,-0.0194154315,0.0412796227,9.1993401146,0.3777469529,0.9753799000
1548685905457705323,-0.2234350880,-0.0124872409,0.0393971918,9.1909681796,0.3957620330,0.9684556020
1548685905462684323,-0.2220125485,-0.0049693151,0.0364255441,9.1885761982,0.4017675491,0.9731758712
1548685905467663323,-0.2176915228,0.0008459676,0.0307450093,9.2005361053,0.4690769010,1.0105092080
1548685905472642323,-0.2112196592,0.0067012499,0.0194075444,9.1778122818,0.5267301494,1.0178379953
1548685905477621323,-0.2006435818,0.0140303471,0.0053481032,9.1562844489,0.5831831755,1.0310122895
1548685905482600323,-0.1876535640,0.0251206327,-0.0092724534,9.0952889225,0.6095454862,1.0587999017
1548685905487579323,-0.1741976275,0.0402593131,-0.0257796207,9.0594092011,0.5566270556,1.0815762637
1548685905492557323,-0.1609711769,0.0527950247,-0.0409403436,9.1479125139,0.4990545610,1.0921075952
1548685905497537323,-0.1472605532,0.0621688830,-0.0574452156,9.1574804396,0.4209564230,1.0650342724
1548685905502516323,-0.1357049018,0.0692051329,-0.0699021733,9.1897721889,0.3236591333,1.1150279440
1548685905507495323,-0.1253369045,0.0716088936,-0.0796602918,9.1993401146,0.2864184730,1.1137347621
1548685905512474323,-0.1203401627,0.0699972240,-0.0974223612,9.2220639381,0.2299669152,1.1005441645
1548685905517453323,-0.1146148289,0.0706892144,-0.1141187366,9.2113000217,0.2323570820,1.0702104666
1548685905522432323,-0.1081420841,0.0676248776,-0.1286709130,9.1682443561,0.2491278922,1.1188573997
1548685905527411323,-0.1007059635,0.0634202900,-0.1448415142,9.1024648668,0.2250133279,1.1432062577
1548685905532390323,-0.0923226995,0.0678730585,-0.1618326715,9.0115695726,0.2261034313,1.1596849176
1548685905537369323,-0.0834607524,0.0717586144,-0.1801699699,8.9673179162,0.2741167270,1.1274514134
1548685905542348323,-0.0694754478,0.0701696307,-0.1950577771,8.9589459812,0.3462078807,1.1334085636
1548685905547327323,-0.0549889699,0.0694301426,-0.2067289379,8.9625339534,0.4026917401,1.1966494069
1548685905552306323,-0.0365998746,0.0692606769,-0.2141392073,8.8429348821,0.4217719633,1.2264100358
1548685905557286323,-0.0157510227,0.0682047514,-0.2156639066,8.6754961822,0.3747004776,1.2580120396
1548685905562264323,0.0019536700,0.0746075526,-0.2128712279,8.5726409809,0.3241032059,1.2969406848
1548685905567243323,0.0179741550,0.0910598033,-0.2038966983,8.5582890923,0.3132703722,1.3534095214
1548685905572223323,0.0303584121,0.1112354382,-0.1932822951,8.5642690459,0.3240929282,1.3416022278
1548685905577201323,0.0388851675,0.1293588045,-0.1794106752,8.6133046651,0.2760855055,1.2788141780
1548685905582180323,0.0464560589,0.1486151396,-0.1625783088,8.5965607951,0.2195854953,1.2790568993
1548685905587160323,0.0506389370,0.1710149490,-0.1433023642,8.5965607951,0.1426773018,1.3505869378
1548685905592139323,0.0543341629,0.1925521552,-0.1248268867,8.6240685815,0.0441724485,1.3385142048
1548685905597117323,0.0539103887,0.2146437950,-0.1055102325,8.6814761358,0.0202091141,1.3494608035
1548685905602097323,0.0539259089,0.2370695124,-0.0942519920,8.7460596343,-0.0169640065,1.3907927817
1548685905607076323,0.0517464129,0.2597857593,-0.0851225089,8.7986832257,-0.0361264519,1.4615906877
1548685905612054323,0.0487971966,0.2790874082,-0.0848433007,8.8453268635,-0.0156404511,1.4820510275
1548685905617034323,0.0484788682,0.3021760503,-0.0896912328,8.8752266313,-0.0997220815,1.5461415247
1548685905622013323,0.0476522838,0.3298884024,-0.0969546230,8.8548947892,-0.1838653785,1.6331904758
1548685905626991323,0.0514284999,0.3561864456,-0.1055997167,8.9924337212,-0.2197472453,1.7040074492
1548685905631971323,0.0523199317,0.3784198073,-0.1112630327,9.1538924675,-0.2832386291,1.7158904115
1548685905636950323,0.0566141634,0.3954814459,-0.1174891274,9.2842554552,-0.3311462107,1.6906796442
1548685905641929323,0.0563345462,0.4009827334,-0.1220550952,9.4337542944,-0.3646100139,1.6968564400
1548685905646908323,0.0545991570,0.4047523530,-0.1274123425,9.5150816629,-0.4294014611,1.7086597403
1548685905651887323,0.0582243037,0.3998889027,-0.1314675099,9.5999970035,-0.4965918846,1.7274485491
1548685905656866323,0.0601695918,0.3909732834,-0.1338938761,9.7076361677,-0.5577459587,1.7424091514
1548685905661845323,0.0616575574,0.3817410633,-0.1314834009,9.8033154248,-0.6525620500,1.7587137109
1548685905666823323,0.0605046270,0.3621144039,-0.1282361248,9.8774668490,-0.6945301867,1.7624028775
1548685905671803323,0.0559819375,0.3384209706,-0.1220028091,9.9073666168,-0.7521746256,1.7936621860
1548685905676782323,0.0514705100,0.3101133863,-0.1154974882,9.9061706261,-0.8711434558,1.7983981775
1548685905681761323,0.0457796969,0.2817685307,-0.1030752967,9.8379991555,-0.9289082913,1.8579572796
1548685905686740323,0.0359594688,0.2603176509,-0.0892798685,9.7136161213,-0.9699184673,1.9300013372
1548685905691720323,0.0224868708,0.2495106537,-0.0741183426,9.5844491243,-0.9736821101,1.9704489489
1548685905696698323,0.0082835343,0.2473347565,-0.0562724195,9.4959458115,-0.9221180682,1.9950881720
1548685905701677323,-0.0039857197,0.2486252929,-0.0381777356,9.4469101922,-0.8548835971,2.0168407774
1548685905706657323,-0.0160577828,0.2571533386,-0.0254600023,9.4134224523,-0.7455708704,2.0196138522
1548685905711635323,-0.0262021568,0.2622491655,-0.0162466976,9.4636540622,-0.6649959387,2.0024962687
1548685905716614323,-0.0324527015,0.2607309818,-0.0070623981,9.4803979322,-0.6902108842,2.1124707340
1548685905721593323,-0.0389585433,0.2652659137,0.0021193848,9.4134224523,-0.6830829632,2.2294396283
1548685905726572323,-0.0515678814,0.2744179716,0.0057131495,9.4469101922,-0.6433860648,2.2559358814
1548685905731551323,-0.0578985592,0.2795946180,0.0030799275,9.5378054864,-0.6108288335,2.2429655006
1548685905736530323,-0.0645230870,0.2842446054,-0.0089469731,9.6179368642,-0.5182002903,2.2371602567
1548685905741509323,-0.0711592607,0.2866042659,-0.0239252111,9.7291640006,-0.4663910503,2.2907289187
1548685905746489323,-0.0746736186,0.2849792846,-0.0459081264,9.7686316941,-0.4495189307,2.3101157025
1548685905751468323,-0.0774224467,0.2767033907,-0.0635969148,9.7518878241,-0.4375225809,2.3572328911
1548685905756446323,-0.0772475763,0.2675635188,-0.0791628961,9.8152753319,-0.4230244773,2.3856726259
1548685905761425323,-0.0772983398,0.2575431565,-0.0920414390,9.8212552855,-0.4362357318,2.3129118652
1548685905766405323,-0.0746583586,0.2492378468,-0.1001123921,9.8069033969,-0.4578837803,2.2955285420
1548685905771384323,-0.0763816497,0.2409122506,-0.1078765235,9.7961394805,-0.4951494008,2.1983838778
1548685905776362323,-0.0795119372,0.2276429797,-0.1089124982,9.8236472669,-0.5720238246,2.1827887004
1548685905781342323,-0.0845762056,0.2172366228,-0.1077859234,9.8451750997,-0.6308802317,2.1871995295
1548685905786321323,-0.0927688641,0.2096704725,-0.1012645722,9.7949434898,-0.6429588036,2.1679582450
1548685905791299323,-0.1021319393,0.2034968666,-0.0866797423,9.7375359356,-0.7007104248,2.1535156847
1548685905796279323,-0.1160699254,0.2004367457,-0.0650767855,9.8057074062,-0.7535011175,2.1760459480
1548685905801258323,-0.1295091329,0.1979407399,-0.0407938897,9.7949434898,-0.7607244750,2.1761945266
1548685905806237323,-0.1453459469,0.1882152864,-0.0143364367,9.7793956105,-0.8040044211,2.1682114536
1548685905811216323,-0.1638472089,0.1813525213,0.0137530299,9.8475670812,-0.8399714465,2.2282510216
1548685905816195323,-0.1808904056,0.1701774573,0.0407591729,9.8702909047,-0.8651790507,2.2572552354
1548685905821174323,-0.1996180584,0.1578317021,0.0696603684,9.8726828861,-0.8303270890,2.3146564226
1548685905826153323,-0.2178950080,0.1460966667,0.0926506436,9.8714868954,-0.7834626268,2.3779649433
1548685905831132323,-0.2337643653,0.1297856131,0.1107907919,9.8463710905,-0.7606613401,2.3958859721
1548685905836111323,-0.2484281417,0.1117602243,0.1270423628,9.8176673133,-0.6970069804,2.4583928602
1548685905841090323,-0.2633567942,0.0986464287,0.1411445875,9.7626517405,-0.6826542337,2.5705076704
1548685905846069323,-0.2766117896,0.0861383887,0.1512044877,9.7064401770,-0.6526809784,2.6040906475
1548685905851048323,-0.2891877706,0.0759820700,0.1534707584,9.6574045578,-0.6371191999,2.5789644744
1548685905856027323,-0.3013066098,0.0718965692,0.1530434762,9.5581373286,-0.6180140164,2.6072756443
1548685905861006323,-0.3151525245,0.0747373514,0.1499411559,9.5067097279,-0.5736146018,2.6642357224
1548685905865985323,-0.3297435008,0.0830583957,0.1457671661,9.4803979322,-0.5508147834,2.7161697691
1548685905870964323,-0.3394950518,0.0948627962,0.1410109727,9.4385382572,-0.5328408143,2.6710160510
1548685905875943323,-0.3499395564,0.1080691153,0.1429716743,9.4552821272,-0.5977115471,2.6368077172
1548685905880922323,-0.3618127455,0.1180789970,0.1484376327,9.4648500529,-0.6565826368,2.6554491867
1548685905885902323,-0.3721952356,0.1274850714,0.1600659279,9.5533533657,-0.7021382261,2.5616426945
1548685905890880323,-0.3849895989,0.1342787619,0.1730598463,9.6298967714,-0.7404983548,2.5336462170
1548685905895859323,-0.4006809572,0.1335671831,0.1855481615,9.6777363999,-0.7596666731,2.5376882084
1548685905900839323,-0.4161183288,0.1302561841,0.1991101950,9.6992642327,-0.7848757456,2.5350566122
1548685905905817323,-0.4291176772,0.1292445168,0.2158707206,9.6777363999,-0.8377765572,2.5435697270
1548685905910796323,-0.4450287957,0.1319622848,0.2337277981,9.6849123442,-0.8942472023,2.5282464731
1548685905915775323,-0.4590108584,0.1355620404,0.2499563779,9.7148121120,-0.8930088055,2.4914972637
1548685905920755323,-0.4717980939,0.1354439710,0.2616132859,9.7781996198,-0.9169647987,2.4765717342
1548685905925733323,-0.4862956078,0.1336048387,0.2703333308,9.7770036291,-0.8845206228,2.5035426347
1548685905930713323,-0.5001164569,0.1323934927,0.2701872166,9.7566717870,-0.8869489641,2.4967866061
1548685905935691323,-0.5117738844,0.1323607559,0.2670679306,9.6992642327,-0.8305399855,2.5983725408
1548685905940671323,-0.5217656298,0.1381201433,0.2604392652,9.6753444185,-0.7800983485,2.6596453020
1548685905945650323,-0.5296073280,0.1499620407,0.2502967371,9.6861083349,-0.7788834437,2.6934949775
1548685905950629323,-0.5384224553,0.1577752970,0.2380181164,9.7184000841,-0.8064826830,2.7094740742
1548685905955608323,-0.5445834138,0.1647497444,0.2230320755,9.7124201306,-0.8389356684,2.7025301028
1548685905960587323,-0.5500447430,0.1777960558,0.2053503507,9.7016562142,-0.8377471922,2.7519131467
1548685905965566323,-0.5555117088,0.1885462146,0.1857911460,9.7626517405,-0.8412773829,2.7581163980
1548685905970545323,-0.5658325585,0.1969778422,0.1646655450,9.7913555176,-0.8208134059,2.7284123681
1548685905975524323,-0.5727712575,0.2071626144,0.1418979965,9.8021194341,-0.8400272401,2.7294428646
1548685905980503323,-0.5813712220,0.2144280016,0.1245168648,9.8045114155,-0.8784784003,2.7294201118
1548685905985482323,-0.5914161598,0.2205266564,0.1084917258,9.7566717870,-0.9242013703,2.7195332467
1548685905990461323,-0.6024066822,0.2257344006,0.0965027399,9.7770036291,-0.9001425996,2.6770471115
1548685905995440323,-0.6155721254,0.2323640019,0.0864110766,9.7746116477,-0.9361962518,2.6243354342
1548685906000419323,-0.6291987431,0.2369545239,0.0798152608,9.7973354712,-0.9517903318,2.6087897656
1548685906005398323,-0.6399069149,0.2452893934,0.0761441044,9.7997274526,-0.8941062502,2.6392221905
1548685906010377323,-0.6503718536,0.2490213527,0.0708635718,9.8092953783,-0.8760691463,2.6168134345
1548685906015356323,-0.6596288167,0.2513243575,0.0642311692,9.8140793412,-0.8340041049,2.6120482408
1548685906020335323,-0.6676710381,0.2567950821,0.0591964635,9.7770036291,-0.7751667850,2.6266061644
1548685906025314323,-0.6708613974,0.2619969792,0.0543878242,9.8176673133,-0.7390661487,2.6998975405
1548685906030293323,-0.6699250077,0.2686508454,0.0508841737,9.8296272205,-0.6909838452,2.7102728930
1548685906035272323,-0.6677867422,0.2767586912,0.0460264400,9.8607229790,-0.6693152412,2.6277824258
1548685906040251323,-0.6656364127,0.2834163315,0.0427805991,9.8798588304,-0.6176190567,2.6028900189
1548685906045230323,-0.6598570846,0.2869330001,0.0368205846,9.9109545890,-0.6860772420,2.6188958890
1548685906050210323,-0.6538417417,0.2956356270,0.0316598486,9.9145425611,-0.7437539824,2.6845105877
1548685906055188323,-0.6509995318,0.3063587286,0.0235721581,9.8559390162,-0.7774732615,2.6454598616
1548685906060167323,-0.6501198023,0.3185338616,0.0120103723,9.8942107190,-0.7702161343,2.6296963975
1548685906065146323,-0.6507184254,0.3304377269,-0.0038338361,9.9205225147,-0.7389398791,2.6211236118
1548685906070125323,-0.6496282774,0.3400556753,-0.0221073698,9.9719501153,-0.7761291505,2.5876076961
1548685906075104323,-0.6487930990,0.3548633154,-0.0406512205,9.9898899760,-0.8446034866,2.6108267071
1548685906080083323,-0.6535314728,0.3679171343,-0.0591447312,9.9851060132,-0.9070972669,2.6120802342
1548685906085063323,-0.6628877157,0.3838383803,-0.0784053597,10.0305536603,-0.9911598101,2.6407897717
1548685906090042323,-0.6761288754,0.4000355511,-0.0984375072,10.0927451774,-1.0824119408,2.6352761943
1548685906095021323,-0.6929742052,0.4133078808,-0.1136031188,10.1967963694,-1.1567890155,2.5998801728
1548685906099999323,-0.7102955522,0.4188014781,-0.1301008149,10.2601838772,-1.2047788191,2.6130960141
1548685906104979323,-0.7288253944,0.4231352148,-0.1463185067,10.3821749300,-1.2635118931,2.6325495612
1548685906109958323,-0.7475759002,0.4214050052,-0.1609186338,10.4945980570,-1.2657772585,2.5923317373
1548685906114936323,-0.7665347234,0.4127357745,-0.1720212820,10.5352617413,-1.2200630980,2.6339685365
1548685906119915323,-0.7852484836,0.3985987534,-0.1847326424,10.5663574998,-1.1815708267,2.5983657780
1548685906124894323,-0.7993438099,0.3827445661,-0.1961408416,10.5783174070,-1.1130597843,2.5981851910
1548685906129873323,-0.8095189196,0.3619770006,-0.2022100869,10.6165891098,-1.0457181308,2.6222645468
1548685906134853323,-0.8160669060,0.3403718979,-0.2104583475,10.5854933512,-0.9472176824,2.5910110717
1548685906139831323,-0.8177374451,0.3170346546,-0.2144524699,10.5651615091,-0.8270735902,2.5197471058
1548685906144811323,-0.8142740087,0.2945420245,-0.2107065404,10.5388497134,-0.7285672687,2.4767054120
1548685906149790323,-0.8069498288,0.2761124348,-0.2088770550,10.5316737691,-0.6348442173,2.5049144253
1548685906154769323,-0.7959526077,0.2585270071,-0.2003685893,10.5292817877,-0.5495271266,2.4674115525
1548685906159748323,-0.7832515920,0.2386410985,-0.1916048056,10.4910100849,-0.4918929655,2.3788236437
1548685906164727323,-0.7676397778,0.2268224821,-0.1796512178,10.4850301313,-0.4510428289,2.4117191049
1548685906169706323,-0.7507939284,0.2161389675,-0.1634137406,10.5328697599,-0.3933029537,2.4321535951
1548685906174685323,-0.7349122115,0.2019932039,-0.1474335481,10.5878853327,-0.3836218899,2.3845091534
1548685906179664323,-0.7226696369,0.1886966288,-0.1314220551,10.6285490169,-0.4003956367,2.4015436551
1548685906184643323,-0.7087094641,0.1736615957,-0.1124710432,10.6919365247,-0.4063262720,2.4475731323
1548685906189622323,-0.6942552117,0.1557428078,-0.0929851514,10.7062884133,-0.4375526066,2.4661423054
1548685906194601323,-0.6814971518,0.1372401103,-0.0734839002,10.7445601161,-0.5336408645,2.5430170634
1548685906199581323,-0.6743171965,0.1184265151,-0.0542018799,10.7732638932,-0.5924884621,2.5180225594
1548685906204559323,-0.6717333769,0.0992945555,-0.0329998996,10.7732638932,-0.7390947061,2.4711681082
1548685906209538323,-0.6730397379,0.0758403899,-0.0152505407,10.8581792338,-0.8050834391,2.4254800818
1548685906214517323,-0.6772900396,0.0472280816,-0.0055255572,10.9311346674,-0.8482547346,2.4549764707
1548685906219496323,-0.6873601766,0.0229063292,0.0058580359,10.8617672060,-0.8964075142,2.4594512893
1548685906224475323,-0.7005984200,0.0031894975,0.0161919332,10.7864197911,-0.9830217318,2.4733958832
1548685906229454323,-0.7189195590,-0.0174214649,0.0279135664,10.7636959675,-1.0503442980,2.4385538783
1548685906234433323,-0.7387157070,-0.0299635757,0.0391048600,10.7589120047,-1.0647704573,2.4421396888
1548685906239412323,-0.7595049503,-0.0421997315,0.0462774909,10.8091436146,-1.0502885044,2.3851808252
1548685906244392323,-0.7817397315,-0.0567528805,0.0542700711,10.7935957353,-1.0310805433,2.3220836160
1548685906249370323,-0.8022546103,-0.0698819984,0.0668105219,10.8127315867,-0.9493420956,2.3089065156
1548685906254349323,-0.8213242334,-0.0812692536,0.0782630017,10.7708719118,-0.8544599330,2.3563448286
1548685906259328323,-0.8375149914,-0.0914631101,0.0845882021,10.7373841718,-0.7896097557,2.3626461987
1548685906264308323,-0.8479029937,-0.0978753070,0.0892485963,10.7170523297,-0.6550453772,2.3710949713
1548685906269286323,-0.8539145751,-0.1019783469,0.0968219705,10.7003084597,-0.5433087140,2.3689499801
1548685906274266323,-0.8567739209,-0.1123971347,0.1019563318,10.8031636610,-0.4578624171,2.3358739071
1548685906279245323,-0.8587033154,-0.1216221545,0.1003696753,10.7804398375,-0.3052756173,2.3466952685
